speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,n,cluster_1_p
4320,440073448,OGLESBY,RICHARD,S,IL,M,R,,voting,18760807,1824-07-25,1824,1876,52,44043201,0.0,10,0.0
4499,440076969,RANDOLPH,THEODORE,S,NJ,M,D,,voting,18760811,1826-06-24,1826,1876,50,44044991,0.0,10,0.3
4417,440080396,BURNSIDE,AMBROSE,S,RI,M,R,,voting,18760815,1824-05-23,1824,1876,52,44044171,0.0,10,0.0
5525,440080968,WHITTHORNE,WASHINGTON,H,TN,M,D,7.0,voting,18760815,1825-04-19,1825,1876,51,44055250,0.0,10,0.0
4210,440087261,WRIGHT,GEORGE,S,IA,M,R,,voting,18770104,1820-03-24,1820,1877,57,44042101,0.0,10,0.5
4817,450028970,CANNON,GEORGE,H,UT,M,R,-1.0,nonvoting,18780225,1827-01-11,1827,1878,51,45048170,0.0,10,1.0
6352,450064151,MORGAN,JOHN,S,AL,M,D,,voting,18780515,1824-06-20,1824,1878,54,45063521,0.0,9,0.8888888888888888
6348,450099275,MITCHELL,JOHN,S,OR,M,R,,voting,18790110,1835-06-22,1835,1879,44,45063481,0.0,20,0.05
4636,450103067,POLLARD,HENRY,H,MO,M,R,10.0,voting,18790122,1836-06-14,1836,1879,43,45046360,0.0,10,0.1
4342,450123075,SARGENT,AARON,S,CA,M,R,,voting,18790226,1827-09-28,1827,1879,52,45043421,0.0,10,0.1
6125,460011143,MORRILL,JUSTIN,S,VT,M,R,,voting,18790428,1810-04-14,1810,1879,69,46061251,0.0,10,0.0
5164,460065668,INGALLS,JOHN,S,KS,M,R,,voting,18800312,1833-12-29,1833,1880,47,46051641,0.0,10,0.0
4756,460067365,MCMAHON,JOHN,H,OH,M,D,3.0,voting,18800317,1833-02-19,1833,1880,47,46047560,0.0,10,0.9
4894,460087093,MORTON,LEVI,H,NY,M,R,11.0,voting,18800422,1824-05-16,1824,1880,56,46048940,0.0,10,0.0
5459,460118833,MCPHERSON,JOHN,S,NJ,M,D,,voting,18800609,1833-05-09,1833,1880,47,46054591,0.0009291935855271,9,0.0
5459,460118835,MCPHERSON,JOHN,S,NJ,M,D,,voting,18800609,1833-05-09,1833,1880,47,46054591,0.0,10,0.0
5116,460119581,BROWN,JOSEPH,S,GA,M,D,,voting,18800610,1821-04-15,1821,1880,59,46051161,0.0,10,0.2
4969,460127769,CALKINS,WILLIAM,H,IN,M,R,10.0,voting,18801215,1842-02-18,1842,1880,38,46049690,0.0,10,0.1
4884,470015736,MCCOOK,ANSON,H,NY,M,R,8.0,voting,18820124,1835-10-10,1835,1882,47,47048840,0.0,10,0.0
5341,470017984,THOMAS,JOHN,H,IL,M,R,18.0,voting,18820131,1846-10-11,1846,1882,36,47053410,0.0,18,0.2222222222222222
5366,470020595,BAYNE,THOMAS,H,PA,M,R,23.0,voting,18820203,1836-06-14,1836,1882,46,47053660,0.0,10,0.7
5156,470031912,HAMMOND,NATHANIEL,H,GA,M,D,5.0,voting,18820303,1833-12-26,1833,1882,49,47051560,0.0,10,0.3
5156,470035147,HAMMOND,NATHANIEL,H,GA,M,D,5.0,voting,18820310,1833-12-26,1833,1882,49,47051560,0.0,10,0.1
5567,470048301,CAMERON,JAMES,S,PA,M,R,,voting,18820406,1833-05-14,1833,1882,49,47055671,4.300149212712064e-08,10,0.0
5567,470049254,CAMERON,JAMES,S,PA,M,R,,voting,18820410,1833-05-14,1833,1882,49,47055671,3.348807297345305e-08,10,0.0
4969,470058948,CALKINS,WILLIAM,H,IN,M,R,13.0,voting,18820429,1842-02-18,1842,1882,40,47049690,0.0,10,1.0
4910,470068433,RICE,THERON,H,MO,M,N,7.0,voting,18820519,1829-09-21,1829,1882,53,47049100,0.0,10,0.9
5459,470070131,MCPHERSON,JOHN,S,NJ,M,D,,voting,18820524,1833-05-09,1833,1882,49,47054591,0.0,48,0.0833333333333333
5459,470070135,MCPHERSON,JOHN,S,NJ,M,D,,voting,18820524,1833-05-09,1833,1882,49,47054591,0.0,10,0.0
5459,470070139,MCPHERSON,JOHN,S,NJ,M,D,,voting,18820524,1833-05-09,1833,1882,49,47054591,0.0,30,0.0666666666666666
5459,470070153,MCPHERSON,JOHN,S,NJ,M,D,,voting,18820524,1833-05-09,1833,1882,49,47054591,1.7595752797919905e-12,10,0.0
5459,470070166,MCPHERSON,JOHN,S,NJ,M,D,,voting,18820524,1833-05-09,1833,1882,49,47054591,0.0,20,0.1
5459,470070169,MCPHERSON,JOHN,S,NJ,M,D,,voting,18820524,1833-05-09,1833,1882,49,47054591,0.0001805899842557,10,0.0
5567,470070173,CAMERON,JAMES,S,PA,M,R,,voting,18820524,1833-05-14,1833,1882,49,47055671,2.2297980424962304e-16,10,0.2
5175,470070174,LOGAN,JOHN,S,IL,M,R,,voting,18820524,1826-02-09,1826,1882,56,47051751,0.0,10,0.1
4890,470070209,MILLER,JOHN,S,CA,M,R,,voting,18820524,1831-11-21,1831,1882,51,47048901,0.0,28,0.1428571428571428
4890,470070213,MILLER,JOHN,S,CA,M,R,,voting,18820524,1831-11-21,1831,1882,51,47048901,0.0,49,0.0204081632653061
4890,470070219,MILLER,JOHN,S,CA,M,R,,voting,18820524,1831-11-21,1831,1882,51,47048901,3.0694687048049954e-20,19,0.0
6159,470070222,VEST,GEORGE,S,MO,M,D,,voting,18820524,1830-12-06,1830,1882,52,47061591,0.0,47,0.0851063829787234
6159,470070224,VEST,GEORGE,S,MO,M,D,,voting,18820524,1830-12-06,1830,1882,52,47061591,2.1509951063100922e-15,10,0.2
6159,470070226,VEST,GEORGE,S,MO,M,D,,voting,18820524,1830-12-06,1830,1882,52,47061591,1.223491207079156e-09,10,0.0
4890,470070227,MILLER,JOHN,S,CA,M,R,,voting,18820524,1831-11-21,1831,1882,51,47048901,7.537178359091127e-05,10,0.1
6159,470070228,VEST,GEORGE,S,MO,M,D,,voting,18820524,1830-12-06,1830,1882,52,47061591,0.0,20,0.0
5175,470070231,LOGAN,JOHN,S,IL,M,R,,voting,18820524,1826-02-09,1826,1882,56,47051751,0.0,30,0.1333333333333333
5175,470070235,LOGAN,JOHN,S,IL,M,R,,voting,18820524,1826-02-09,1826,1882,56,47051751,7.30049562111613e-11,10,0.1
5459,470070238,MCPHERSON,JOHN,S,NJ,M,D,,voting,18820524,1833-05-09,1833,1882,49,47054591,0.0,10,0.1
5175,470076607,LOGAN,JOHN,S,IL,M,R,,voting,18820605,1826-02-09,1826,1882,56,47051751,0.0,10,0.3
6159,470079040,VEST,GEORGE,S,MO,M,D,,voting,18820607,1830-12-06,1830,1882,52,47061591,0.0,10,0.0
4796,470082924,WILLIAMS,JOHN,S,KY,M,D,,voting,18820612,1818-07-10,1818,1882,64,47047961,0.0,10,0.3
4915,470094210,ROBESON,GEORGE,H,NJ,M,R,1.0,voting,18820628,1829-03-16,1829,1882,53,47049150,0.0,10,0.0
4915,470095032,ROBESON,GEORGE,H,NJ,M,R,1.0,voting,18820629,1829-03-16,1829,1882,53,47049150,0.0,10,0.2
5162,470095036,HEWITT,ABRAM,H,NY,M,D,10.0,voting,18820629,1822-07-31,1822,1882,60,47051620,0.0,10,0.0
5162,470095041,HEWITT,ABRAM,H,NY,M,D,10.0,voting,18820629,1822-07-31,1822,1882,60,47051620,0.0,10,0.0
4915,470095065,ROBESON,GEORGE,H,NJ,M,R,1.0,voting,18820629,1829-03-16,1829,1882,53,47049150,0.0,20,0.0
4915,470098093,ROBESON,GEORGE,H,NJ,M,R,1.0,voting,18820705,1829-03-16,1829,1882,53,47049150,0.0,10,0.2
4915,470098104,ROBESON,GEORGE,H,NJ,M,R,1.0,voting,18820705,1829-03-16,1829,1882,53,47049150,0.0,10,0.2
5162,470098129,HEWITT,ABRAM,H,NY,M,D,10.0,voting,18820705,1822-07-31,1822,1882,60,47051620,0.0,10,0.2
4915,470098898,ROBESON,GEORGE,H,NJ,M,R,1.0,voting,18820706,1829-03-16,1829,1882,53,47049150,0.0,10,0.0
4915,470098920,ROBESON,GEORGE,H,NJ,M,R,1.0,voting,18820706,1829-03-16,1829,1882,53,47049150,0.0,20,0.0
5285,470122013,HISCOCK,FRANK,H,NY,M,R,25.0,voting,18820801,1834-09-06,1834,1882,48,47052850,0.0,10,0.0
5341,470124938,THOMAS,JOHN,H,IL,M,R,18.0,voting,18820803,1846-10-11,1846,1882,36,47053410,0.0,20,0.0
5341,470124939,THOMAS,JOHN,H,IL,M,R,18.0,voting,18820803,1846-10-11,1846,1882,36,47053410,0.0,38,0.1052631578947368
5341,470124945,THOMAS,JOHN,H,IL,M,R,18.0,voting,18820803,1846-10-11,1846,1882,36,47053410,7.806155410764505e-09,10,0.0
4850,470131522,HARRIS,BENJAMIN,H,MA,M,R,2.0,voting,18821208,1823-11-10,1823,1882,59,47048500,0.0,10,0.1
5341,470131642,THOMAS,JOHN,H,IL,M,R,18.0,voting,18821208,1846-10-11,1846,1882,36,47053410,1.5300911389636106e-11,10,0.1
5341,470131653,THOMAS,JOHN,H,IL,M,R,18.0,voting,18821208,1846-10-11,1846,1882,36,47053410,0.0,166,0.0542168674698795
5588,470131657,FLOWER,ROSWELL,H,NY,M,D,11.0,voting,18821208,1835-08-07,1835,1882,47,47055880,0.0,50,0.06
5162,470131661,HEWITT,ABRAM,H,NY,M,D,10.0,voting,18821208,1822-07-31,1822,1882,60,47051620,0.0,30,0.2
5162,470131668,HEWITT,ABRAM,H,NY,M,D,10.0,voting,18821208,1822-07-31,1822,1882,60,47051620,0.0,10,0.1
5162,470131675,HEWITT,ABRAM,H,NY,M,D,10.0,voting,18821208,1822-07-31,1822,1882,60,47051620,0.0,56,0.0892857142857142
4974,470131678,CONVERSE,GEORGE,H,OH,M,D,12.0,voting,18821208,1827-06-04,1827,1882,55,47049740,0.0008984469935369,10,0.0
5162,470131679,HEWITT,ABRAM,H,NY,M,D,10.0,voting,18821208,1822-07-31,1822,1882,60,47051620,1.963765561861133e-19,10,0.0
4806,470131680,ATHERTON,GIBSON,H,OH,M,D,13.0,voting,18821208,1831-01-19,1831,1882,51,47048060,0.002253028903681,10,0.2
5162,470131681,HEWITT,ABRAM,H,NY,M,D,10.0,voting,18821208,1822-07-31,1822,1882,60,47051620,1.93818244419241e-06,10,0.0
4850,470131683,HARRIS,BENJAMIN,H,MA,M,R,2.0,voting,18821208,1823-11-10,1823,1882,59,47048500,0.0,10,0.0
4850,470131687,HARRIS,BENJAMIN,H,MA,M,R,2.0,voting,18821208,1823-11-10,1823,1882,59,47048500,3.8684000463606443e-16,19,0.1052631578947368
4974,470131688,CONVERSE,GEORGE,H,OH,M,D,12.0,voting,18821208,1827-06-04,1827,1882,55,47049740,4.169422012393402e-13,10,0.0
4850,470131691,HARRIS,BENJAMIN,H,MA,M,R,2.0,voting,18821208,1823-11-10,1823,1882,59,47048500,0.0,20,0.05
5341,470131710,THOMAS,JOHN,H,IL,M,R,18.0,voting,18821208,1846-10-11,1846,1882,36,47053410,0.0,30,0.0333333333333333
4884,470131723,MCCOOK,ANSON,H,NY,M,R,8.0,voting,18821208,1835-10-10,1835,1882,47,47048840,0.0,20,0.3
5341,470131724,THOMAS,JOHN,H,IL,M,R,18.0,voting,18821208,1846-10-11,1846,1882,36,47053410,0.0,20,0.0
5341,470131728,THOMAS,JOHN,H,IL,M,R,18.0,voting,18821208,1846-10-11,1846,1882,36,47053410,0.0,20,0.15
5341,470131743,THOMAS,JOHN,H,IL,M,R,18.0,voting,18821208,1846-10-11,1846,1882,36,47053410,8.358475496479313e-10,9,0.0
5341,470131745,THOMAS,JOHN,H,IL,M,R,18.0,voting,18821208,1846-10-11,1846,1882,36,47053410,0.0,5,0.2
5064,470131747,ROBINSON,WILLIAM,H,NY,M,D,2.0,voting,18821208,1814-05-06,1814,1882,68,47050640,0.0,154,0.0714285714285714
4884,470131748,MCCOOK,ANSON,H,NY,M,R,8.0,voting,18821208,1835-10-10,1835,1882,47,47048840,0.0,30,0.0666666666666666
5341,470131758,THOMAS,JOHN,H,IL,M,R,18.0,voting,18821208,1846-10-11,1846,1882,36,47053410,0.0,10,0.1
6205,470146516,DINGLEY,NELSON,H,ME,M,R,2.0,voting,18830106,1832-02-15,1832,1883,51,47062050,0.0,10,0.0
4896,470147009,MURCH,THOMPSON,H,ME,M,N,5.0,voting,18830108,1838-03-29,1838,1883,45,47048960,0.0,10,0.0
4969,470155090,CALKINS,WILLIAM,H,IN,M,R,13.0,voting,18830120,1842-02-18,1842,1883,41,47049690,0.0,10,0.1
5024,470155099,KASSON,JOHN,H,IA,M,R,7.0,voting,18830120,1822-01-11,1822,1883,61,47050240,0.1882278609571522,10,0.2
4969,470155100,CALKINS,WILLIAM,H,IN,M,R,13.0,voting,18830120,1842-02-18,1842,1883,41,47049690,0.0455139570791287,10,0.3
4832,470155217,DEZENDORF,JOHN,H,VA,M,R,2.0,voting,18830120,1834-08-10,1834,1883,49,47048320,0.0,10,0.0
5697,470161498,BLAIR,HENRY,S,NH,M,R,,voting,18830130,1834-12-06,1834,1883,49,47056971,1.749862371211086e-07,10,0.1
6125,470182356,MORRILL,JUSTIN,S,VT,M,R,,voting,18830216,1810-04-14,1810,1883,73,47061251,0.0,10,0.2
5459,470189766,MCPHERSON,JOHN,S,NJ,M,D,,voting,18830222,1833-05-09,1833,1883,50,47054591,0.0,20,0.25
5459,470189906,MCPHERSON,JOHN,S,NJ,M,D,,voting,18830222,1833-05-09,1833,1883,50,47054591,0.0,10,0.7
5268,470193954,EDMUNDS,GEORGE,S,VT,M,R,,voting,18830226,1828-02-01,1828,1883,55,47052681,0.0,47,0.0851063829787234
4807,470202106,ATKINS,JOHN,H,TN,M,D,8.0,voting,18830302,1825-06-04,1825,1883,58,47048070,6.673113898101801e-19,9,0.0
4807,470202108,ATKINS,JOHN,H,TN,M,D,8.0,voting,18830302,1825-06-04,1825,1883,58,47048070,0.0,10,0.3
5285,470202114,HISCOCK,FRANK,H,NY,M,R,25.0,voting,18830302,1834-09-06,1834,1883,49,47052850,0.0,10,0.2
4915,470202127,ROBESON,GEORGE,H,NJ,M,R,1.0,voting,18830302,1829-03-16,1829,1883,54,47049150,0.0,10,0.0
6669,480003363,FRYE,WILLIAM,S,ME,M,R,,voting,18840109,1830-09-02,1830,1884,54,48066691,0.0,20,0.1
6554,480009554,HALE,EUGENE,S,ME,M,R,,voting,18840130,1836-06-09,1836,1884,48,48065541,0.0,20,0.05
6093,480015838,HOLMAN,WILLIAM,H,IN,M,D,4.0,voting,18840218,1822-09-06,1822,1884,62,48060930,0.0,9,0.0
6220,480020608,HAWLEY,JOSEPH,S,CT,M,R,,voting,18840228,1826-10-31,1826,1884,58,48062201,0.0,20,0.1
6352,480020687,MORGAN,JOHN,S,AL,M,D,,voting,18840228,1824-06-20,1824,1884,60,48063521,0.0,10,0.0
6352,480020921,MORGAN,JOHN,S,AL,M,D,,voting,18840229,1824-06-20,1824,1884,60,48063521,0.0,20,0.1
5399,480022551,COX,SAMUEL,H,NY,M,D,6.0,voting,18840304,1824-09-30,1824,1884,60,48053990,0.0,10,0.0
6288,480023190,BOUTELLE,CHARLES,H,ME,M,R,-1.0,voting,18840305,1839-02-09,1839,1884,45,48062880,0.0,10,0.0
4969,480023359,CALKINS,WILLIAM,H,IN,M,R,13.0,voting,18840305,1842-02-18,1842,1884,42,48049690,0.0,10,0.0
5485,480023360,RANDALL,SAMUEL,H,PA,M,D,3.0,voting,18840305,1828-10-10,1828,1884,56,48054850,0.0,10,0.1
5459,480040977,MCPHERSON,JOHN,S,NJ,M,D,,voting,18840410,1833-05-09,1833,1884,51,48054591,0.0,10,0.0
4956,480048403,BELFORD,JAMES,H,CO,M,R,1.0,voting,18840424,1837-09-28,1837,1884,47,48049560,0.0,39,0.1794871794871795
6205,480049968,DINGLEY,NELSON,H,ME,M,R,-1.0,voting,18840426,1832-02-15,1832,1884,52,48062050,0.0,10,0.0
5142,480071248,FINDLAY,JOHN,H,MD,M,D,4.0,voting,18840609,1839-12-21,1839,1884,45,48051420,0.0,40,0.125
6120,480074590,MCMILLIN,BENTON,H,TN,M,D,4.0,voting,18840613,1845-09-11,1845,1884,39,48061200,0.0,10,0.3
4963,480084760,BREWER,FRANCIS,H,NY,M,R,33.0,voting,18840627,1820-10-08,1820,1884,64,48049630,0.0,19,0.0
5399,480086450,COX,SAMUEL,H,NY,M,D,6.0,voting,18840630,1824-09-30,1824,1884,60,48053990,0.0,10,0.0
4969,480086995,CALKINS,WILLIAM,H,IN,M,R,13.0,voting,18840701,1842-02-18,1842,1884,42,48049690,0.0,10,0.0
4969,480087014,CALKINS,WILLIAM,H,IN,M,R,13.0,voting,18840701,1842-02-18,1842,1884,42,48049690,0.0,10,0.2
5697,480090376,BLAIR,HENRY,S,NH,M,R,,voting,18840704,1834-12-06,1834,1884,50,48056971,4.298616801128911e-07,10,0.1
6554,480091189,HALE,EUGENE,S,ME,M,R,,voting,18840705,1836-06-09,1836,1884,48,48065541,0.0,10,0.7
7544,480093010,CANNON,JOSEPH,H,IL,M,R,15.0,voting,18840705,1836-05-07,1836,1884,48,48075440,0.0,10,0.0
4968,480093011,BUDD,JAMES,H,CA,M,D,2.0,voting,18840705,1851-05-18,1851,1884,33,48049680,0.0,10,0.0
6288,480106762,BOUTELLE,CHARLES,H,ME,M,R,-1.0,voting,18850123,1839-02-09,1839,1885,46,48062880,0.0,20,0.0
5341,480124875,THOMAS,JOHN,H,IL,M,R,20.0,voting,18850219,1846-10-11,1846,1885,39,48053410,0.0,10,0.1
6288,480124895,BOUTELLE,CHARLES,H,ME,M,R,-1.0,voting,18850219,1839-02-09,1839,1885,46,48062880,1.8166147629911843e-08,9,0.0
6288,480124897,BOUTELLE,CHARLES,H,ME,M,R,-1.0,voting,18850219,1839-02-09,1839,1885,46,48062880,5.2517917806192014e-08,10,0.1
6288,480124899,BOUTELLE,CHARLES,H,ME,M,R,-1.0,voting,18850219,1839-02-09,1839,1885,46,48062880,0.0,10,0.0
6559,480125920,HITT,ROBERT,H,IL,M,R,6.0,voting,18850220,1834-01-16,1834,1885,51,48065590,0.0,10,0.0
6806,480126207,KEIFER,JOSEPH,H,OH,M,R,8.0,voting,18850220,1836-01-30,1836,1885,49,48068060,0.0,18,0.0
5341,480127222,THOMAS,JOHN,H,IL,M,R,20.0,voting,18850223,1846-10-11,1846,1885,39,48053410,0.0,10,0.0
5130,480127251,CURTIN,ANDREW,H,PA,M,D,20.0,voting,18850223,1817-04-22,1817,1885,68,48051300,0.0,28,0.0714285714285714
5459,490004152,MCPHERSON,JOHN,S,NJ,M,D,,voting,18851221,1833-05-09,1833,1885,52,49054591,0.0,10,0.1
6327,490004980,HOAR,GEORGE,S,MA,M,R,,voting,18860107,1826-08-29,1826,1886,60,49063271,0.0,10,0.0
6288,490008341,BOUTELLE,CHARLES,H,ME,M,R,4.0,voting,18860122,1839-02-09,1839,1886,47,49062880,0.0,18,0.2222222222222222
6139,490009212,SAYERS,JOSEPH,H,TX,M,D,10.0,voting,18860126,1841-09-23,1841,1886,45,49061390,0.0,10,0.0
6327,490029320,HOAR,GEORGE,S,MA,M,R,,voting,18860323,1826-08-29,1826,1886,60,49063271,0.0,10,0.2
5149,490059190,GREEN,ROBERT,H,NJ,M,D,3.0,voting,18860524,1831-03-25,1831,1886,55,49051490,0.0,20,0.1
5149,490059193,GREEN,ROBERT,H,NJ,M,D,3.0,voting,18860524,1831-03-25,1831,1886,55,49051490,0.0,10,0.0
7051,490078096,GOFF,NATHAN,H,WV,M,R,1.0,voting,18860619,1843-02-09,1843,1886,43,49070510,0.0,10,0.0
5380,490100376,BUTTERWORTH,BENJAMIN,H,OH,M,R,1.0,voting,18860717,1837-10-22,1837,1886,49,49053800,0.0,10,0.0
5223,490100421,VIELE,EGBERT,H,NY,M,D,13.0,voting,18860717,1825-06-17,1825,1886,61,49052230,0.0,10,0.0
6327,490106360,HOAR,GEORGE,S,MA,M,R,,voting,18860724,1826-08-29,1826,1886,60,49063271,0.0,10,0.1
5605,490107073,HERBERT,HILARY,H,AL,M,D,2.0,voting,18860724,1834-03-12,1834,1886,52,49056050,0.0,10,0.0
5605,490107125,HERBERT,HILARY,H,AL,M,D,2.0,voting,18860724,1834-03-12,1834,1886,52,49056050,0.0,10,0.0
5130,490107139,CURTIN,ANDREW,H,PA,M,D,20.0,voting,18860724,1817-04-22,1817,1886,69,49051300,0.0,10,0.0
5108,490107180,BALLENTINE,JOHN,H,TN,M,D,7.0,voting,18860724,1825-05-20,1825,1886,61,49051080,0.0,10,0.0
5130,490107194,CURTIN,ANDREW,H,PA,M,D,20.0,voting,18860724,1817-04-22,1817,1886,69,49051300,0.0,10,0.0
5108,490107235,BALLENTINE,JOHN,H,TN,M,D,7.0,voting,18860724,1825-05-20,1825,1886,61,49051080,0.0,29,0.0344827586206896
5108,490107239,BALLENTINE,JOHN,H,TN,M,D,7.0,voting,18860724,1825-05-20,1825,1886,61,49051080,0.0,18,0.0
6288,490115414,BOUTELLE,CHARLES,H,ME,M,R,4.0,voting,18860820,1839-02-09,1839,1886,47,49062880,0.0,10,0.4
5230,490125856,WARNER,ADONIRAM,H,OH,M,D,17.0,voting,18870114,1834-01-13,1834,1887,53,49052300,0.0,29,0.0
6327,490141101,HOAR,GEORGE,S,MA,M,R,,voting,18870211,1826-08-29,1826,1887,61,49063271,0.0,10,0.0
5336,490141450,SOWDEN,WILLIAM,H,PA,M,D,10.0,voting,18870211,1840-06-06,1840,1887,47,49053360,0.0,30,0.0666666666666666
5336,490141460,SOWDEN,WILLIAM,H,PA,M,D,10.0,voting,18870211,1840-06-06,1840,1887,47,49053360,0.0,10,0.0
6554,490144878,HALE,EUGENE,S,ME,M,R,,voting,18870216,1836-06-09,1836,1887,51,49065541,0.0,10,0.3
5176,490153171,LORE,CHARLES,H,DE,M,D,0.0,voting,18870226,1831-03-16,1831,1887,56,49051760,0.0,19,0.1052631578947368
6554,490157272,HALE,EUGENE,S,ME,M,R,,voting,18870302,1836-06-09,1836,1887,51,49065541,0.0,19,0.0526315789473684
5766,500003555,GRAY,GEORGE,S,DE,M,D,,voting,18880113,1840-05-04,1840,1888,48,50057661,0.0,19,0.9473684210526316
6327,500028834,HOAR,GEORGE,S,MA,M,R,,voting,18880320,1826-08-29,1826,1888,62,50063271,0.0,10,0.1
6184,500029682,BLAND,RICHARD,H,MO,M,D,11.0,voting,18880321,1835-08-19,1835,1888,53,50061840,0.0,10,0.6
6125,500039389,MORRILL,JUSTIN,S,VT,M,R,,voting,18880411,1810-04-14,1810,1888,78,50061251,0.0,10,0.0
6220,500077962,HAWLEY,JOSEPH,S,CT,M,R,,voting,18880629,1826-10-31,1826,1888,62,50062201,0.0,29,0.0344827586206896
5478,500086224,PETERS,SAMUEL,H,KS,M,R,7.0,voting,18880714,1842-08-16,1842,1888,46,50054780,0.0,9,0.0
5566,500098623,CALL,WILKINSON,S,FL,M,D,,voting,18880801,1834-01-09,1834,1888,54,50055661,0.0,10,0.0
5265,500110461,DOUGHERTY,CHARLES,H,FL,M,D,2.0,voting,18880823,1850-10-15,1850,1888,38,50052650,0.0,19,0.0
